time_of_day,day_of_week,vehicle_count,avg_speed,signal_time,congestion_level
8,1,120,25,60,High
9,1,100,30,55,Medium
10,1,80,35,45,Low
17,1,140,20,70,High
18,1,160,18,75,High
19,1,110,28,60,Medium
8,2,130,24,65,High
9,2,95,32,50,Medium
10,2,75,38,40,Low
17,2,145,22,72,High
18,2,155,19,74,High
19,2,105,29,58,Medium
8,3,125,26,62,High
9,3,98,31,53,Medium
10,3,78,36,43,Low
17,3,138,21,69,High
18,3,150,17,76,High
19,3,108,27,59,Medium
8,4,135,23,66,High
9,4,102,30,54,Medium
10,4,82,34,44,Low
17,4,142,20,71,High
18,4,158,18,77,High
19,4,112,26,61,Medium
8,5,128,25,63,High
9,5,97,33,52,Medium
10,5,76,37,42,Low
17,5,136,22,68,High
18,5,148,19,73,High
19,5,109,28,57,Medium
8,6,90,35,50,Medium
9,6,85,38,45,Low
10,6,70,42,40,Low
17,6,100,30,55,Medium
18,6,120,27,60,Medium
19,6,95,32,52,Medium
8,7,80,40,45,Low
9,7,75,42,40,Low
10,7,60,45,35,Low
17,7,92,34,50,Medium
18,7,105,30,55,Medium
19,7,88,36,48,Low 
